Date,Open,High,Low,Close
4/1/2019,2848.63,2869.4,2848.63,2867.19
3/29/2019,2828.27,2836.03,2819.23,2834.4
3/28/2019,2809.4,2819.71,2798.77,2815.44
3/27/2019,2819.72,2825.56,2787.72,2805.37
3/26/2019,2812.66,2829.87,2803.99,2818.46
3/25/2019,2796.01,2809.79,2785.02,2798.36
3/22/2019,2844.52,2846.16,2800.47,2800.71
3/21/2019,2819.72,2860.31,2817.38,2854.88
3/20/2019,2831.34,2843.54,2812.43,2824.23
3/19/2019,2840.76,2852.42,2823.27,2832.57
3/18/2019,2822.61,2835.41,2821.99,2832.94
3/15/2019,2810.79,2830.73,2810.79,2822.48
3/14/2019,2810.38,2815,2803.46,2808.48
3/13/2019,2799.78,2821.24,2799.78,2810.92
3/12/2019,2787.34,2798.32,2786.73,2791.52
3/11/2019,2747.61,2784,2747.61,2783.3
3/8/2019,2730.79,2744.13,2722.27,2743.07
3/7/2019,2766.53,2767.25,2739.09,2748.93
3/6/2019,2790.27,2790.27,2768.69,2771.45
3/5/2019,2794.41,2796.44,2782.97,2789.65
3/4/2019,2814.37,2816.88,2767.66,2792.81
3/1/2019,2798.22,2808.02,2787.38,2803.69
2/28/2019,2788.11,2793.73,2782.51,2784.49
2/27/2019,2787.5,2795.76,2775.13,2792.38
2/26/2019,2792.36,2803.12,2789.47,2793.9
2/25/2019,2804.35,2813.49,2794.99,2796.11
2/22/2019,2780.67,2794.2,2779.11,2792.67
2/21/2019,2780.24,2781.58,2764.55,2774.88
2/20/2019,2779.05,2789.88,2774.06,2784.7
2/19/2019,2769.28,2787.33,2767.29,2779.76
2/15/2019,2760.24,2775.66,2760.24,2775.6
2/14/2019,2743.5,2757.9,2731.23,2745.73
2/13/2019,2750.3,2761.85,2748.63,2753.03
2/12/2019,2722.61,2748.19,2722.61,2744.73
2/11/2019,2712.4,2718.05,2703.79,2709.8
2/8/2019,2692.36,2708.07,2681.83,2707.88
2/7/2019,2717.53,2719.32,2687.26,2706.05
2/6/2019,2735.05,2738.08,2724.15,2731.61
2/5/2019,2728.34,2738.98,2724.03,2737.7
2/4/2019,2706.49,2724.99,2698.75,2724.87
2/1/2019,2702.32,2716.66,2696.88,2706.53
1/31/2019,2685.49,2708.95,2678.65,2704.1
1/30/2019,2653.62,2690.44,2648.34,2681.05
1/29/2019,2644.89,2650.93,2631.05,2640
1/28/2019,2644.97,2644.97,2624.06,2643.85
1/25/2019,2657.44,2672.38,2657.33,2664.76
1/24/2019,2638.84,2647.2,2627.01,2642.33
1/23/2019,2643.48,2653.19,2612.86,2638.7
1/22/2019,2657.88,2657.88,2617.27,2632.9
1/18/2019,2651.27,2675.47,2647.58,2670.71
1/17/2019,2609.28,2645.06,2606.36,2635.96
1/16/2019,2614.75,2625.76,2612.68,2616.1
1/15/2019,2585.1,2613.08,2585.1,2610.3
1/14/2019,2580.31,2589.32,2570.41,2582.61
1/11/2019,2588.11,2596.27,2577.4,2596.26
1/10/2019,2573.51,2597.82,2562.02,2596.64
1/9/2019,2580,2595.32,2568.89,2584.96
1/8/2019,2568.11,2579.82,2547.56,2574.41
1/7/2019,2535.61,2566.16,2524.56,2549.69
1/4/2019,2474.33,2538.07,2474.33,2531.94
1/3/2019,2491.92,2493.14,2443.96,2447.89
1/2/2019,2476.96,2519.49,2467.47,2510.03
12/31/2018,2498.94,2509.24,2482.82,2506.85
12/28/2018,2498.77,2520.27,2472.89,2485.74
12/27/2018,2442.5,2489.1,2397.94,2488.83
12/26/2018,2363.12,2467.76,2346.58,2467.7
12/24/2018,2400.56,2410.34,2351.1,2351.1
12/21/2018,2465.38,2504.41,2408.55,2416.62
12/20/2018,2496.77,2509.63,2441.18,2467.42
12/19/2018,2547.05,2585.29,2488.96,2506.96
12/18/2018,2559.9,2573.99,2528.71,2546.16
12/17/2018,2590.75,2601.13,2530.54,2545.94
12/14/2018,2629.68,2635.07,2593.84,2599.95
12/13/2018,2658.7,2670.19,2637.27,2650.54
12/12/2018,2658.23,2685.44,2650.26,2651.07
12/11/2018,2664.44,2674.35,2621.3,2636.78
12/10/2018,2630.86,2647.51,2583.23,2637.72
12/7/2018,2691.26,2708.54,2623.14,2633.08
12/6/2018,2663.51,2696.15,2621.53,2695.95
12/4/2018,2782.43,2785.93,2697.18,2700.06
12/3/2018,2790.5,2800.18,2773.38,2790.37
11/30/2018,2737.76,2760.88,2732.76,2760.17
11/29/2018,2736.97,2753.75,2722.94,2737.76
11/28/2018,2691.45,2744,2684.38,2743.79
11/27/2018,2663.75,2682.53,2655.89,2682.17
11/26/2018,2649.97,2674.35,2649.97,2673.45
11/23/2018,2633.36,2647.55,2631.09,2632.56
11/21/2018,2657.74,2670.73,2649.82,2649.93
11/20/2018,2654.6,2669.44,2631.52,2641.89
11/19/2018,2730.74,2733.16,2681.09,2690.73
11/16/2018,2718.54,2746.75,2712.16,2736.27
11/15/2018,2693.52,2735.38,2670.75,2730.2
11/14/2018,2737.9,2746.8,2685.75,2701.58
11/13/2018,2730.05,2754.6,2714.98,2722.18
11/12/2018,2773.93,2775.99,2722,2726.22
11/9/2018,2794.1,2794.1,2764.24,2781.01
11/8/2018,2806.38,2814.75,2794.99,2806.83
11/7/2018,2774.13,2815.15,2774.13,2813.89
11/6/2018,2738.4,2756.82,2737.08,2755.45
11/5/2018,2726.37,2744.27,2717.94,2738.31
11/2/2018,2745.45,2756.55,2700.44,2723.06
11/1/2018,2717.58,2741.67,2708.85,2740.37
10/31/2018,2705.6,2736.69,2705.6,2711.74
10/30/2018,2640.68,2685.43,2635.34,2682.63
10/29/2018,2682.65,2706.85,2603.54,2641.25
10/26/2018,2667.86,2692.38,2628.16,2658.69
10/25/2018,2674.88,2722.7,2667.84,2705.57
10/24/2018,2737.87,2742.59,2651.89,2656.1
10/23/2018,2721.03,2753.59,2691.43,2740.69
10/22/2018,2773.94,2778.94,2749.22,2755.88
10/19/2018,2775.66,2797.77,2760.27,2767.78
10/18/2018,2802,2806.04,2755.18,2768.78
10/17/2018,2811.67,2816.94,2781.81,2809.21
10/16/2018,2767.05,2813.46,2766.91,2809.92
10/15/2018,2763.83,2775.99,2749.03,2750.79
10/12/2018,2770.54,2775.77,2729.44,2767.13
10/11/2018,2776.87,2795.14,2710.51,2728.37
10/10/2018,2873.9,2874.02,2784.86,2785.68
10/9/2018,2882.51,2894.83,2874.27,2880.34
10/8/2018,2877.53,2889.45,2862.08,2884.43
10/5/2018,2902.54,2909.64,2869.29,2885.57
10/4/2018,2919.35,2919.78,2883.92,2901.61
10/3/2018,2931.69,2939.86,2921.36,2925.51
10/2/2018,2923.8,2931.42,2919.37,2923.43
10/1/2018,2926.29,2937.06,2917.91,2924.59
9/28/2018,2910.03,2920.53,2907.5,2913.98
9/27/2018,2911.65,2927.22,2909.27,2914
9/26/2018,2916.98,2931.15,2903.28,2905.97
9/25/2018,2921.75,2923.95,2913.7,2915.56
9/24/2018,2921.83,2923.79,2912.63,2919.37
9/21/2018,2936.76,2940.91,2927.11,2929.67
9/20/2018,2919.73,2934.8,2919.73,2930.75
9/19/2018,2906.6,2912.36,2903.82,2907.95
9/18/2018,2890.74,2911.17,2890.43,2904.31
9/17/2018,2903.83,2904.65,2886.16,2888.8
9/14/2018,2906.38,2908.3,2895.77,2904.98
9/13/2018,2896.85,2906.76,2896.39,2904.18
9/12/2018,2888.29,2894.65,2879.2,2888.92
9/11/2018,2871.57,2892.52,2866.78,2887.89
9/10/2018,2881.39,2886.93,2875.94,2877.13
9/7/2018,2868.26,2883.81,2864.12,2871.68
9/6/2018,2888.64,2892.05,2867.29,2878.05
9/5/2018,2891.59,2894.21,2876.92,2888.6
9/4/2018,2896.96,2900.18,2885.13,2896.72
8/31/2018,2898.37,2906.32,2891.73,2901.52
8/30/2018,2908.94,2912.46,2895.22,2901.13
8/29/2018,2900.62,2916.5,2898.4,2914.04
8/28/2018,2901.45,2903.77,2893.5,2897.52
8/27/2018,2884.69,2898.25,2884.69,2896.74
8/24/2018,2862.35,2876.16,2862.35,2874.69
8/23/2018,2860.29,2868.78,2854.03,2856.98
8/22/2018,2860.99,2867.54,2856.05,2861.82
8/21/2018,2861.51,2873.23,2861.32,2862.96
8/20/2018,2853.93,2859.76,2850.62,2857.05
8/17/2018,2838.32,2855.63,2833.73,2850.13
8/16/2018,2831.44,2850.49,2831.44,2840.69
8/15/2018,2827.95,2827.95,2802.49,2818.37
8/14/2018,2827.88,2843.11,2826.58,2839.96
8/13/2018,2835.46,2843.4,2819.88,2821.93
8/10/2018,2839.64,2842.2,2825.81,2833.28
8/9/2018,2857.19,2862.48,2851.98,2853.58
8/8/2018,2856.79,2862.44,2853.09,2857.7
